service_id;Маржинальность;Риск срыва;Риск конфликтов;Чувствительность к цене;Потенциал апсейла;Потенциал даунсейла;Ценность для портфолио;Ценность для отзывов;Репутационный риск;Удобство исполнения;Предсказуемость результата;Стоит ли активно продавать;Комментарий
Magnets;;;;высокая;Balloons;Средний;;;;;Да;Да;
Blocks;;;;;;Низкий;;;;;;Ограниченно;
stills;;;;;;Средний;;;;;;Да;
Video;;;;;;Средний;;;;;;Ограниченно;
Photo-box-selfie;;;;;;Низкий;;;;;;;
Catering;;;;;;Низкий;;;;;;;
Branding;;;;;;Низкий;;;;;;;
Balloons;;;;;;Средний;;;;;;Да;
planning_events;;;;;;Средний;;;;;;;
Album;;;;;;Низкий;;;;;;;
Games;;;;;;Низкий;;;;;;;
Flowers;;;;;;Низкий;;;;;;;
table_rent;;;;;;Низкий;;;;;;;
